periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0,0.007,-0.0,-0.0,0.103,-0.0
2.0,0,0.003,-0.0,-0.0,0.097,-0.0
3.0,0,0.003,-0.0,-0.0,0.095,-0.0
4.0,0,0.003,-0.0,-0.0,0.094,-0.0
5.0,0,0.003,-0.0,-0.0,0.094,-0.0
6.0,0,0.003,-0.0,-0.0,0.099,-0.0
7.0,0,0.007,0.001,-0.0,0.117,-0.0
8.0,0,0.016,0.001,-0.0,0.131,-0.0
9.0,0,0.027,-0.0,-0.0,0.146,-0.0
10.0,0,0.038,-0.0,-0.0,0.146,-0.0
11.0,0,0.038,-0.0,-0.0,0.146,-0.0
12.0,0,0.028,-0.0,-0.0,0.146,-0.0
13.0,0,0.017,-0.0,-0.0,0.144,-0.0
14.0,0,0.012,-0.0,-0.0,0.136,-0.0
15.0,0,0.008,-0.0,-0.0,0.132,-0.0
16.0,0,0.009,-0.0,-0.0,0.134,-0.0
17.0,0,0.012,-0.0,-0.0,0.134,-0.0
18.0,0,0.023,0.001,-0.0,0.127,-0.0
19.0,0,0.034,-0.0,-0.0,0.125,-0.0
20.0,0,0.033,-0.0,-0.0,0.119,-0.0
21.0,0,0.033,-0.0,-0.0,0.115,-0.0
22.0,0,0.022,-0.0,-0.0,0.112,-0.0
23.0,0,0.011,-0.0,-0.0,0.111,-0.0
24.0,0,0.005,-0.0,-0.0,0.096,-0.0
